id,is_user_action,is_note,result
cafb2e77-8e53-4ae5-b9dd-4cabe9b5d166,f,,"From your vantage in the corner, the room buzzes with subdued activity. Nurses drift in and out, checking charts and replacing IV bags; the patient’s family member occasionally asks quiet questions, their anxiety palpable. Christine remains focused, her voice calm and her movements purposeful as she reassures Mrs. Redding. Outside, the hallway sounds ebb and flow—distant footsteps, murmured conversations, the faint clatter of medical equipment.

Eventually, the family member gathers their belongings and departs, leaving Christine alone with the patient. She checks the monitors one final time, then gently pats the woman’s hand. With a sigh, Christine steps out, closing the door softly behind her. She heads toward the staff lounge—a smaller room nearby, with ghostly remnants of coats, coffee cups, and handwritten notes cluttering the tables. The lighting is softer here, offering a brief respite from the tense atmosphere of the ICU."
5a0da62a-f0cb-4735-8df2-e86301b9d32e,t,f,Follow Christine into the staff lounge
38c38dcc-d5fe-40d4-a58e-22cbc830dac9,f,,"The staff lounge is a compact space tucked off the main ICU corridor. In the Shadowlands, its walls are smudged with the memories of exhaustion and camaraderie—ghostly outlines of old posters and faded photographs linger alongside blurred lockers. The air is thick with the scent of stale coffee and microwaved meals, layered atop the deep ache of worry and fatigue from countless night shifts.

Christine settles into a worn armchair near a table scattered with hospital charts and a mug labeled “World’s Best Mom.” She rubs her temples and closes her eyes, breathing deeply. Other staff pass through, some pausing to exchange weary, supportive words, while others grab snacks or jot notes on whiteboards. The lounge is cluttered but welcoming, filled with spectral traces of laughter and tears, a rare moment of reprieve amidst the relentless urgency outside."
bc41c3a6-d357-4d56-a84c-484bd538b4d0,t,t,"Success (2)! Diff: 6, Rolls: 10, 6"
a69fd183-43ff-4281-a09d-a5be671768a0,t,f,"I master all the courage I can, to finally put out the words. ""Christine... Christine... I'm here"" She does not hear me neither feel my presence."
33199313-471e-47a5-82f0-920101f04ea0,f,,"Shadow: (Voice slick with venomous satisfaction) Shadow: Look at you—begging like a mutt for scraps. She can’t hear you, Harry. You’re a ghost. Just a shadow she’s already shaking off.

Shadow: (Leaning in, hissing in your ear) Shadow: Go ahead, scream her name. See if it matters. She’s already moved on. Maybe she’ll finally get some peace without you around to ruin everything."
d509fa46-0357-4247-b6b9-f15dcc2fa843,t,f,"""Shut up."" I say to the monstrous voice in my head. ""Christine... Christine..."""
448649fb-75ba-4016-89ec-80b3af2e582a,f,,"The staff lounge remains unchanged by your desperate words. Christine sits with her head bowed, the mug untouched in her hands, lost in thought. The overhead lights flicker in the Shadowlands, casting long, wavering shadows across the room. You hear the distant thrum of hospital activity—pages over the intercom, muted footsteps, a patient’s moan echoing faintly through spectral walls.

Despite your calls, not a single shift in Christine’s demeanor betrays any awareness of your presence. She sighs, then opens her eyes and stands, straightening her scrubs before heading to a corkboard covered in pinned notes and schedules. Her movements are deliberate, weary, but filled with purpose. The weight of her burdens is visible in her posture, but your voice cannot bridge the chasm separating the living from the lost."
7e87e42c-1a03-40ee-b391-323df2f0fefe,t,t,"Success (2)! Diff: 6, Rolls: 10, 3, 5, 1, 10"
36274163-b650-44fe-90e5-612ece9f513e,t,f,"Empowered by the strength of our connection, I spend the power of emotions through Pathos, and manage to produce a couple sentences she can listen. ""I am here, Christine. Everything will be fine. You can rest. I'll take care of you."""
cf6150e9-5b41-4ffb-a6c0-4af12468089d,f,,"Christine: (She stiffens, eyes widening as the mug trembles in her grasp. Her breathing falters and she glances sharply around the empty room, searching.) Christine: ...Harry? 

Christine: (Voice quivering, barely above a whisper) Christine: No—no, that’s... I must be tired. 

Christine: (She presses a hand to her chest, tears springing to her eyes. Her lips tremble with hope and fresh grief.) Christine: Please—if you’re here, just... just give me a sign. Please."
4e6752f4-d4e5-4e04-ad21-6bbae15e7530,t,t,"Success (4)! Diff: 6, Rolls: 3, 10, 8, 4, 9, 6"
17257510-03a9-44c7-99bd-dc69a27645a5,t,f,"I focus all my might and heart. I grab the mug with my ghost hand and spin her around on the table, so the writing ""World's Best Mom"" faces her."
c0b666ea-563c-4026-8ee9-370d1d264b9f,f,,"Christine: (The mug jerks and spins—she gasps, stumbling back a step. For a moment, her eyes lock on the words, wide with disbelief.)

Christine: (Her hands tremble as she clutches the table’s edge. Tears streak down her cheeks.) Christine: Harry? Is this real? Are you really here?"
98ebeab5-b35e-449c-8828-37714f0cb3d0,t,t,"Success (2)! Diff: 6, Rolls: 4, 9, 7, 1, 4"
cad2d7f4-ac27-4cd6-b285-3158bc43a8ce,t,f,"""I am fine, Christine. I am here. I love you, I'll take care of you. Fear nothing."""
c3c14371-7531-47d9-985d-01f050eeab73,f,,"Christine: (She presses a shaking hand to her mouth, sobbing softly as she leans in close to the mug.) Christine: I love you too—oh God, Harry... I miss you so much. 

Christine: (Her voice is broken, raw with longing.) Christine: Please don’t leave again. Please—just stay. Just for a little while."
b0654314-4c44-4a28-a275-82388b16b79f,t,t,"Success (1)! Diff: 6, Rolls: 1, 3, 2, 9, 3"
b9f9f344-d693-40d3-819f-5f22942400eb,t,f,"I stay with her for a few minutes. We both crying. I apologize. Apologize for my anger. The moment of truth. ""Christine, how's Bethany?"""
041252ee-fa6f-4e02-9b8a-f45d2fc92ce4,f,,"Christine: (She chokes on a sob, shoulders shaking. Her head drops, and she squeezes her eyes shut.)

Christine: (Barely audible, voice splintering) Christine: She’s gone, Harry. They—they couldn’t save her. I’m so sorry. 

Christine: (She clings to the mug, searching the air as if she could see you.) Christine: I tried, I swear I tried."
3e384b4f-bfc5-4aa3-bea2-eedc122ab373,t,f,"A spear strike my heart. It's unbearable. I paralyze. Dead? My babygirl is... dead? How...? Something elementary... something deep... very deep... deeper than I could've imagined, shatters. I close my eyes. I deliver myself to it. I feel the pain in every single inch of my body. My baby Bethany... My baby girl Beth... is... dead..."
52055849-dda2-4b39-bbb5-95bc2aab928c,f,,"Shadow: (A low, jagged laugh vibrates through your very marrow, cold and wet like a rising tide.) Shadow: Oh, did the little man finally figure it out? 

Shadow: (The voice is a guttural rasp, dripping with poisonous glee.) Shadow: She's gone, you pathetic waste of breath. You killed her, you broke her, and now you’re just a ghost haunting a dump of a hospital while she cries over your memory. 

Shadow: (It pushes forward, its presence growing heavier, suffocating the air around you.) Shadow: Stop groveling. You want to make it better? Stop whimpering like a dog and tear this place down. Start with that mug. Smash it. Watch her face when the world falls apart."
3b0f76f9-2e83-4124-8e09-cd74d2e84f63,t,f,"I scream with the top of my lungs. I rage at the walls and punch the wall to no avail. ""I will KILL HIM!!! I WILL KILL DEREK!!!!"" I punch the walls repeatedly. ""I just don't care... WHATEVER IT TAKES..."""
9c3e5000-d257-488f-9c15-81fd479b24f3,f,,"Shadow: (A harsh, grating cackle erupts from your own throat, sounding distorted and wild.) Shadow: That’s it, you spineless worm! Let the hate burn! Forget the brat, forget the woman—they’re just memories rotting in the dirt. 

Shadow: (The cold in your chest flares into a jagged, burning needle of malice.) Shadow: Derek is breathing, he’s laughing, he’s probably drinking a beer while you’re stuck in this grey hell. Don't just punch the wall—rip it open, find the rot, and make him bleed until there's nothing left but a stain on the floor! 

Shadow: (It leans into your consciousness, its voice a sickening, oily whisper.) Shadow: Stop playing the grieving father and start playing the butcher. What’s his address? Let’s go find him."
9c35ff4e-3611-48ca-a2ce-2c95a0041c8d,t,t,"Success (3)! Diff: 6, Rolls: 5, 6, 7, 6"
a67bcb29-d738-46a3-9118-4b425bf03e2e,t,t,"Success (1)! Diff: 6, Rolls: 4, 3, 7, 4, 4"
a16791d7-bae0-476a-a4dc-8d39e9f2d083,t,f,"I try to speak with Christine one last time. ""I'll take care of you Christine. Everything will be fine"""
b7401afd-a04d-4ead-9e46-9fab72546b99,f,,"Christine: (She recoils slightly, her brow furrowed in confusion and sudden terror as the atmosphere in the room turns frigid.) 

Christine: Harry? Your voice—it sounds... wrong. Like something else is speaking through you. 

Christine: (She clutches her chest, backing away from the table, her eyes darting around the empty, silent room.) Christine: Please, if that's you, stop! You’re scaring me! Why does it feel like the air is dying?"
8203efd4-9e15-4fed-921a-89b4509f7e4d,t,f,"I get of the room, and look around."
7993dfa6-4d15-4a04-992c-922c6c8289a7,f,,"The corridor stretches before you in the Shadowlands, a hollow echo of Pinewood County General’s busy passageways. Faded walls are marked with stains and peeling paint, their surfaces warped by decades of sorrow and loss. The fluorescent lights overhead flicker dimly, casting uncertain shadows that linger in corners and behind grimy glass windows. Distant echoes of footsteps and muffled cries drift through the spectral air, blending with the faint, metallic tang of disinfectant and something colder, like old blood.

To your left, a row of shadowy chairs sits against the wall, some broken, others bearing ghostly impressions of those who waited here long ago. Behind a cracked reception desk, dusty paperwork and a shattered phone rest untouched. Several doors lead to waiting rooms and patient care areas; one swings loosely, revealing an abandoned stretcher inside. Down the hall, the corridor forks—one branch leading toward intensive care, the other toward surgical suites. The oppressive atmosphere is thick, heavy with unresolved emotion, and you can sense the presence of other restless spirits moving just out of sight."
2a539645-0075-461b-ae47-417b87775890,t,t,"Success (1)! Diff: 6, Rolls: 3, 7, 2, 1, 5"
8c9a21cf-2c41-4927-813e-ba5a87232ca0,t,t,"Critical Failure! Diff: 6, Rolls: 1"
1b12acb8-539c-48df-ab62-17211f6dc72b,t,f,I kick a chair in the air.
86b47641-f163-4b44-b092-af4cf38e7a5d,f,,"Your foot connects with the brittle, ghostly chair, and it skids across the faded linoleum, scraping with a hollow sound that echoes far louder than expected in the Shadowlands. The impact sends a ripple through the spectral environment—dust motes swirl in the dim light, and the chair’s metal frame groans before settling unevenly against the wall, leaving a shallow dent in the ethereal surface beneath.

Nearby, the old paperwork atop the reception desk stirs as if ruffled by a sudden draft. The distant echoes of footsteps pause for a moment, then resume with a nervous urgency. Shadows flicker and stretch along the corridor, hinting at unseen observers who now seem more cautious, their presence prickling at the edge of your awareness."
8765ff81-9809-4a7a-8eff-dba6146f1d2e,t,f,"I collapse in the ground, I rub my forehead. ""This is a nightmare. It's not real. I'll wake up one day. My daughter is alive. None of this is real. It just can't be"""
b4d5c289-7b30-4579-b15b-035bdf6c2e2f,f,,"Shadow: (A sneer drips from your own lips, cold and sharp as broken glass.) Shadow: Keep lying to yourself, you pathetic, shivering coward. Look at your hands—they don't bleed, they don't feel the floor, they just pass through the filth.

Shadow: (The voice mocks you, vibrating with an unnatural, grinding frequency.) Shadow: Your little girl is at the bottom of a river, gasping for air that stopped reaching her lungs hours ago. You’re not waking up, Harry; you’re just rotting in the dark with the rest of the trash."
d3b343b5-ba59-46b2-97b6-a0cdee855891,t,f,"""I couldn't manage living. How can I manage this existence. It's just too much."" I sob without control."
5c8df85e-ceb5-46d0-86ce-8e308b381042,f,,"Shadow: (The entity lets out a sharp, jagged hiss, vibrating through your entire frame.) Shadow: Sobbing? You’re leaking weakness like a broken pipe! It’s pathetic, and it makes me want to tear your throat out just to stop the sound.

Shadow: (The cold in your chest tightens, pulling at your lungs until you feel like you’re choking on ice.) Shadow: You couldn’t manage your life because you were a soft, spineless fool. Why bother trying to manage this? Give me the wheel, and I’ll turn this entire hellhole into a graveyard that’ll make the river look like a shallow puddle."
eeba2057-e29c-4648-beba-35fd751b1a1d,t,t,"Failure! Diff: 6, Rolls: 3, 4, 2, 3"
4b756175-4061-456d-8280-ee731c7e30b4,t,t,"Success (3)! Diff: 6, Rolls: 4, 4, 7, 5, 4, 5, 7, 7"
f3ac571e-83cd-47b3-a912-1c3426843ab0,t,f,"I feel my body shaking and my Corpus convulsing against the sheer strength of the Shadow's malice trying to take control. I breath and I force it back to the black hole of Oblivion. ""Sit back monster. It's not your time yet. This is my life. Go back to the hole where you came from and leave me alone."""
d021e1e6-ae54-49ad-abd9-4485ac81a089,f,,"The corridor’s oppressive chill seems to recede just slightly as you force the Shadow’s malice back, reclaiming control over your Corpus. The flickering lights steady for a moment, and the echoing cries fade to a distant murmur. Your spectral body trembles, the sensation almost like pins and needles, but your grip on your thoughts feels firmer—though the Shadow’s presence still lurks, simmering beneath the surface.

Around you, the faded hospital remains eerily quiet. The broken chair rests against the wall, dust settling once more. Farther down the corridor, a cluster of indistinct figures—other wraiths—drift near the entrance to intensive care, their attention momentarily drawn to your outburst. Doors to various wings remain open or ajar, leading deeper into patient wards, surgical suites, and waiting areas, each holding its own spectral residue and secrets. The atmosphere is heavy but now tinged with a faint sense of resolve."
a0bbae64-10e5-4846-9c01-9a780a0af72f,t,t,"Success (4)! Diff: 6, Rolls: 6, 9, 9, 8"
7d00a632-ec2a-4aac-9254-2ac84dd977a1,t,f,"Another wraith, named Miriam approaches and offers assistance."
a54fae94-5009-4232-ad28-5d2c4c00efed,f,,"A slender woman approaches, her spectral outline shimmering with faint, silvery threads. Miriam Voss moves with a careful, almost reverent step, cradling a battered notebook against her chest. Her features are etched with lines of concern and curiosity, eyes reflecting the dull glow of flickering lights overhead. She pauses a few feet away, glancing between you and the scattered remnants of the corridor, her presence quiet but oddly comforting amidst the gloom.

You catch the subtle scent of old paper and ink as she draws closer, her voice barely audible above the distant echoes. Miriam’s gaze lingers on you, assessing your state, before she gently offers assistance—her manner cautious, but sincere, as she waits for you to respond. The other wraiths near the intensive care entrance watch from afar, their forms drifting in and out of shadow, but Miriam's attention remains focused solely on you."
1dd23a76-c360-4583-8c8c-bae7dc2f3023,t,f,"Quite embarrassed. ""It looks like I caused quite a scene."" I make the moves to clean my clothes, as if they could get filthy with dust or anything."
a6275a9e-e7d2-4bb9-9bda-40fad7f97f47,f,,"Miriam: (She smiles gently, her tone soft and nonjudgmental.) Miriam: Scenes are what the living make. Here, you just show the truth.

Miriam: (She watches your brush your spectral clothing, then tilts her head, notebook ready.) Miriam: But it’s good to care how you look. It means you’re still fighting. Can I help you find something—someone?"
deb25d11-8de0-4294-b759-901484d83a74,t,f,"I look down, trying to portray a modicum of composure, but the pain is just too strong. ""I... I just found out that my 2 years old baby girl died with me the day I've drowned... I mean, it's not enough to live in this miserable existence with a literal devil on my head..."""
3ee92b2b-7df3-4cba-8ef6-842889bf95a4,f,,"Miriam: (Her posture softens; she lowers her notebook and steps closer, voice a whisper threaded with empathy.) Miriam: I’m so sorry. The pain here is sharp—it never dulls, not really.

Miriam: (She hesitates, as if weighing her words carefully.) Miriam: Sometimes, recording last words helps me understand sorrow. If you heard her final sentence… I could help you find her. Or give you something you need."
34747a61-84fa-40f6-8018-e24b7971a465,t,f,"I'm struck by the realization that Bethany maybe a wraith as well. She was just a child, how could she be in this hell of existence? ""No, sorry, Miss... you don't understand, she was just a 2 years old. I don't know why I'm a ... ghost"" I take a second to use this, almost ludicrous term before continuing ""... but not my baby Bethany. Preacher told us every Sunday in church and I believe. My baby girl's in heaven, yes she is."" I point up. Even though my confidence in my whole faith falters me."
3ff3e682-62b5-4601-9d6f-1e7ff36fddce,f,,"Miriam: (She closes her notebook, her hands folding around it gently. Her gaze is kind, but heavy with experience.) Miriam: I hope you’re right. Truly, I do.

Miriam: (She glances upward with you, then back to your face.) Miriam: Children sometimes linger. Love keeps them close—or fear. I’ve seen it. If you want to know for certain… I can look, or listen. But you must ask."
b9453f06-db13-4848-9e0f-94da2424aed6,t,f,"""No no no no... "" I shake my head. ""There's the... monsters!"" I wave ""Oh my God... she's just a little girl! Oh my God"" I pace, nervous... ""She needs help! She needs me! Those, shadow monsters will hurt here!"" I try to focus, I close my eyes ""I... I... She was... "" Tears rolling down my eyes freely ""Her last words might have been 'Dad'"" Red eyes staring back at you. ""Because she was crying for help when she was drowning the poor angel..."""
2da2b168-3e48-45a3-9565-5c602a26a204,f,,"Miriam: (She takes a sharp, steadying breath, her eyes widening as she scribbles something furiously into her notebook.) Miriam: 'Dad'… a word of absolute trust, even in the dark. 

Miriam: (She snaps the book shut, her expression tightening with a grim, sudden urgency.) Miriam: Listen to me—if she is here, she is not safe. The Shadow inside you wants you to break, but you have to be stronger than your own grief right now. If I ever manage to find her, I'll let you know."
f0514f88-f49e-4aa3-9889-fece58b2458c,t,f,"""Her name is Bethany. Bethany Baker. And I'm Harry. Please, if there's any way to know if she's a Wraith. Let me know. I NEED to know"" I hold your hands."
7254cf82-8a1a-41fa-b3eb-26c816a792e9,f,,"Miriam: (She lets you hold her hands, her skin feeling cold and thin like parchment, but she doesn't pull away.) Miriam: I will watch, Harry. Every corner of this hospital, every ward and hallway—I will keep my ears open for a child’s voice.

Shadow: (A harsh, grating rasp echoes inside your skull, drowning out the silence.) Shadow: You pathetic, weeping fool. Begging a scavenger for scraps of hope? She’s rotting in the river, you idiot, and you’re just too damn weak to admit you left her there to drown!"
