               scene_id               |                                                                                                                                                                                                                                                                                                                                                                            result                                                                                                                                                                                                                                                                                                                                                                            
 97f6e6ff-5d19-493f-ab23-1097bac85c99 | Rusty: *He leans heavily on his wooden staff, wheezing slightly as he glares toward the distant cluster of prefab buildings.* They call it automated efficiency, boy. A computer terminal tied into the main drills and the slurry pumps, so the suits in the trailers don't even have to step outside to poison our lands.                                                                                                                                                                                                                                                                                                                                                                                                                                 +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Terry: *Crosses his arms tightly over his green vest, his jaw tight as he watches the blinking amber lights of the distant command trailer.* If we smash that terminal, does it shut the whole operation down, or do they just send a repair crew?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Viccy: *Pulls her red hair back with a stray rubber band, her eyes darting nervously toward the treeline.* It’s more than just a computer, Terry. I could feel the digital hum bleeding right into the Umbra—it's a spiritual anchor for their machinery. If you break it down there, you break the tether here.
 97f6e6ff-5d19-493f-ab23-1097bac85c99 | Rusty: *Spits a glob of dark phlegm onto the dead pine needles, his voice raspy and sharp.* You don't need to command spirits, boy, you just need to know how to wreck iron and glass. You smash the casing, tear out the red and black wires, and put your boot through the glowing screen until nothing's left humming.                                                                                                                                                                                                                                                                                                                                                                                                                                   +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Viccy: *Nods eagerly, tapping her temple with a finger.* And if you hit a snag, just howl or send a pulse through the local air spirits. I'll be listening on the other side to cover your blind spots, Terry.
 97f6e6ff-5d19-493f-ab23-1097bac85c99 | Rusty: *A dry, hacking laugh rattles in the old Silver Fang's chest as he claps a heavy, liver-spotted hand onto Terry's shoulder.* If they lock you up, pup, I'll trade my last silver coin to bail you out—or I'll tear the precinct down brick by brick myself.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Viccy: *Grins brightly, giving Terry an encouraging wave.* I'll bring the good stuff, promise! Now go on, make us proud.
 97f6e6ff-5d19-493f-ab23-1097bac85c99 | Viccy: Leans against a moss-covered boulder, a knowing, wicked grin spreading across her painted face as she eyes your dog-like form shifting back. "I take it the local tech didn't appreciate your architectural feedback, Terry? Tell me the servers screamed."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Rusty: Crosses his frail arms over his chest, scowling deeply though a faint, grudging spark of approval glimmers in his tired eyes. "Pride goeth before the fall, young one, and you certainly gave them a push. But don't celebrate just yet; smashing a machine only buys us a day before the suits in the regional office send reinforcements."
 8bf5f6f6-6732-4395-8a79-9ac51b8e88c9 | Janice Bell: Janice raises an eyebrow, her lips twitching into a familiar, weary half-smile as she watches you slip behind the counter. "My back's right where I left it, Terry—aching like a wet tooth," she says, leaning her weight onto one hip and tossing the damp rag into the sink. "And I see you're making yourself right at home again, like you own the place."
 8bf5f6f6-6732-4395-8a79-9ac51b8e88c9 | Janice Bell: Janice lets out a dry, rattling chuckle and gives your shoulder a light, dismissive shove. "Oh, save your breath, kid, the bills are paid—for now," she mutters, her gaze flicking briefly. She leans in a little closer, lowering her voice so the construction workers by the jukebox won't hear. "Just watch yourself around here today, alright? The bigwigs from NORTHEX have been breathing down everyone's necks, and folks are getting... jumpy."
 8bf5f6f6-6732-4395-8a79-9ac51b8e88c9 | Janice Bell: Janice lets out a sharp snort, rolling her eyes as she grabs a coffee pot to top off a nearby cup. "Oh, listen to you sounding like a corporate brochure," she mutters, shaking her head. "They're stressed because those surveyors haven't come back down from the upper ridge yet, and now management's whispering about expanding the pipeline loop even closer to the old grove."
 8bf5f6f6-6732-4395-8a79-9ac51b8e88c9 | Janice Bell: Janice pauses, her hand tightening around the handle of the coffee pot as she glances back toward the jukebox before looking you dead in the eye. "The ones NORTHEX sent up past the logging road three days ago," she lowers her voice to a harsh whisper. "The boys in the orange vests aren't even worried about the job; they're whispering about how nobody's heard hide nor hair of the survey crew since Tuesday night."
 8bf5f6f6-6732-4395-8a79-9ac51b8e88c9 | Janice Bell: Janice shakes her head, her expression tightening as she sets the coffee pot down with a sharp *clink* on the counter. "No routine to speak of, they just roll in whenever corporate drops a new map on 'em," she murmurs, leaning in closer with a wary squint. "And I don't care how green you are, Terry—experienced hands don't just vanish into the Blackpine without a trace for three days straight, especially not with the gear those boys carry."
 8bf5f6f6-6732-4395-8a79-9ac51b8e88c9 | Janice Bell: Janice narrows her eyes, crossing her arms over her apron and glancing suspiciously toward the booths. "They use the old logging spur off Route 9, right past the water tower," she whispers, her voice dropping even lower. "Heavy trucks go up every morning around dawn, but if you're thinking of poking around up there, Terry, I'd strongly suggest you don't."
 8bf5f6f6-6732-4395-8a79-9ac51b8e88c9 | Janice Bell: Janice catches you in a brief, bone-crushing hug, rolling her eyes as she pats your back hard enough to rattle your teeth. "Resumees and kitchen pipes, right," she scoffs, a faint, fond smile breaking through her worried expression as she pushes you gently away toward the door. "Just watch your tail up on that ridge, Terry, and Sunday you better actually show up with your wrench or I'm telling your mother."
 117a83a4-530b-4408-8823-c213d93204d6 | Marlene Voss: Snorts softly, her boots coming to a halt a few feet from your shelf as she lets out a dry, humorless laugh. "Scared of looking like idiots, mostly. Or maybe they've got more sense than I'm giving 'em credit for."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | She leans one hand against the edge of a display table stacked with quartz crystals, lowering her voice. "Tom went out there Tuesday to take a water sample, came back pale as a ghost, dropped his keys, and refused to talk about it for six hours. Just kept mumbling about the trees looking... wrong. Like they were leaning over the road watching him."
 117a83a4-530b-4408-8823-c213d93204d6 | Marlene Voss: Frowns, crossing her arms again and shaking her head. "I didn't send Caleb anywhere near that mess. He's a good kid, but he's too soft for whatever chemical swamp NORTHEX is brewing up out there." She tilts her head toward the front window, eyeing the gray sky. "Besides, he's been busy dealing with fence-cutters over by the ridge. Look, Viccy, I'm serious. That runoff isn't just oil. The frogs down by the creek... they aren't right."
 117a83a4-530b-4408-8823-c213d93204d6 | Marlene Voss: Blinks, her eyes narrowing slightly as the memory crosses her face, though a faint, reluctant twitch of warmth touches the corner of her mouth. She glances toward the front of the shop before leaning in closer, her voice dropping to a low, gravelly whisper. "I don't need a thousandfold, Viccy, just... keep your ear to the ground and let me know if you hear what NORTHEX is actually dumping in those barrels." She straightens up, adjusting her belt with a slight sigh. "If those Stockmen bother you again, you call my office first, understand?"
 117a83a4-530b-4408-8823-c213d93204d6 | Marlene Voss: Holds your gaze for a long, heavy moment, the stubborn set of her jaw slowly softening into a look of troubled resignation. She drops her hand, giving a slow, reluctant nod. "Yeah. I figured you'd say something like that." She turns toward the front door, pausing with her hand on the brass knob and not looking back. "Just... don't make me write your obituary, Viccy."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Rusty: Leans heavily on an ash-wood cane near the cold spring, his breath rattling faintly as he watches you with sharp, milky-eyed intensity. He gives a low, raspy cough. "Your voice is steady enough, Viccy, but the spirits in these woods are growing deaf. Or maybe they're just holding their breath."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Steps out from the shadow of the old pines, a smudge of dark grease staining the cheek of his otherwise lean face as he tosses a rolled-up set of blueprints onto the damp earth. "Rough morning," he says, his tone steady despite a breathless edge, offering a brief, apologetic nod to Rusty before turning to face the rest of the pack.
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Rusty: Straightens slowly against his cane, his cloudy eyes narrowing as he stares at the small plastic device in your hand. A dry, humorless chuckle rattles in his chest. "Marlene Voss is finally growing a spine, or simply getting desperate. Be careful which strings you pull with that county toy, Viccy—corporate dogs watch those lenses like hawks."                                                                                                                                                                                                                                                                                                                                                                                             +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Flowers: Pads silently out from the dense ferns near the base of the dead pine, shifting her heavy shoulders as she drops into a low, rumbling growl at the mention of the Rust-Crow. She tosses her head toward the valley below and snaps her jaws shut with a sharp *clack*, clearly dismissing the bird as a scavenger while fixing Terry and you with a piercing, yellow-eyed stare.
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Rusty: Reaches out a trembling, liver-spotted hand, his long fingers tracing the edge of the plastic card with bitter recognition. "A corporate key," he rasps, a heavy sigh whistling through his teeth. "You steal their little metal tokens while their machines bleed poison into our roots. Use it, then. But remember what lies behind those gates is more than just men with guns."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Rusty: Turns his milky eyes slowly toward Terry, his thin lips pulling back in a dry, humorless grimace. He lowers his voice to a gravelly rasp. "Flowers protects the heart of this place, boy; her claws are the last line of defense if the Wyrm comes crawling up these hills. You and Viccy have the clever hands and the sight to strike the rot at its source, while I am too old to leave this spring."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Rusty: Glances toward the massive, blighted pine at the center of the Caern, his expression darkening into a bitter frown. "The Grandfather Oak grows sullen and slow, choked by the grease flowing in the water table below. If you want his blessing, you must bleed the rot from his roots first, not ask him to fight our battles while we sit idle."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Rusty: Presses the heavy oak head of his cane hard against the dirt, his milky eyes flaring with sudden, cold authority as he steps directly into Terry's space. "Watch your tongue, whelp! You break locks and smash plastic boxes while the sickness rises in the well, and you call that a war?"                                                                                                                                                                                                                                                                                                                                                                                                                                                         +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Flowers: Explodes into a massive, bristling *Hispo* form with a deafening, cavernous snap of her jaws, lunging forward to pin Terry's path with a terrifying wall of muscle, baring yellow fangs as a deep, vibrating threat rattles straight up from the damp earth.
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Rusty: Lowers his chin, his chest heaving slightly as he glares past Terry at the hulking beast, tapping his cane sharply against the loam. "Enough, Flowers. Stand down."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Flowers: Sinks back into the shadows of the ferns with a low, grudging huff of hot air, her muscles coiling as she shifts smoothly back to her human shape, glaring sideways at Terry without a word.
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Rusty: Lowers his weight back onto his cane, his stern expression softening just a fraction as he looks down at the young Bone Gnawler. "Fear is the rust that eats the blade, Terry, but you are not wrong to feel the weight of it."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Viccy: Steps closer, placing a comforting hand on Terry's shoulder while keeping her wild eyes fixed on the silver-haired elder. "We have the keycard, we have the Route 9 access, and the Rust-Crow can show us the spiritual trail to their core. We just need to know how to strike where it hurts them most without walking into a slaughter."                                                                                                                                                                                                                                                                                                                                                                                                          +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Rusty: Nods slowly, his hand trembling as he strokes his thin beard. "Then use the crow's sight, follow the poison to its source, and sever their lifeline in the Umbra before they choke the spring entirely."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Rusty: Gives a dry, humorless cough, tapping his cane sharply against the dark earth. "You do not mop up the stain with a rag, Theurge. You kill the beast that bleeds into the well, and the pool will clear itself."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Dusts off the last bits of dirt from his green vest, swallowing hard before offering a firm, resolute nod to both elders. "We'll do it. We find the source, and we cut the head off."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Jumps slightly at the sudden sound of your voice, kicking a loose pinecone off the dirt trail before glancing sideways at you with a tight, weary jaw. "I'm not mad, Viccy... just tired of old ghosts telling us we're swinging blind when we're the only ones actually swinging."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Nods grimly, his boots crunching against the gravel as the glow of the town’s distant lights begins to peek through the dark tree line. "You're right... let's just make sure we make it back to sing those songs."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Duke Mercer: Grunts dismissively from the doorway, waving a greasy hand in the air as he takes another drag of his cigarette. "Just get the hell out of my sight before I change my mind."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Viccy: I stare intently through the cracked windshield at the dark, looming tree line rushing past us, my fingers nervously tracing the cold edge of the stolen keycard in my pocket. "You're supposed to have a bad feeling, Terry—it means you're paying attention."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Viccy: Squints through the dusty windshield at the hazy glow of the security lights in the distance, leaning back against the passenger-side door as she crosses her arms. "We go for the card reader on the secondary gate—it's quieter than the main house, and we've got the keycard to bypass it."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Viccy: Shakes her head, her eyes narrowing as she taps a finger against the dashboard. "No, cutting the feeds trips an alarm at the main gatehouse instantly. The card reader is automated—if we swipe the stolen keycard fast enough, the system will just log it as a standard entry."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Viccy: Glances sideways at Terry, her jaw tightening as she leans forward to peer through the windshield toward the perimeter fence. "It's the maintenance annex, Terry—it gets us inside the perimeter without kicking the hornets' nest at the gatehouse. From there, we can slip into the admin trailer or grab the shipping manifests off the desk to see when the next convoy rolls out."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Viccy: Gives a sharp, decisive nod, reaching out to give Terry’s shoulder a firm squeeze. "Go alone—you're faster and quieter in the dark. If the patrol truck comes back or something goes wrong, double-hoot like an owl and I'll roll the truck right through that fence as a distraction."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Viccy: Softens her gaze, reaching through the open window to grip Terry's arm with a surprisingly fierce, grounding strength. "Good. That fear keeps you alive, Terry. Now breathe, trust your senses, and remember you're faster than anything they built in there."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Leaning forward against the dashboard, your knuckles white as you stare at the dense columns of corporate jargon and serial numbers lit by the penlight's beam.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Viccy: Looks up from the paperwork, her expression hardening as she folds the manifest pages in half and tosses them onto the passenger seat. She gives a sharp, humorless nod. "You nailed it, Terry. They aren't just building roads—this shipment is pure, unadulterated Wyrm-taint in liquid form, scheduled to dump straight into the runoff streams feeding the deep roots of the Caern." She taps the steering wheel, her wild eyes catching the dim green glow of the dashboard. "We hit them at the water tower bottleneck at five in the morning, right when they're stalled."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Slumping back against the passenger seat with a sharp exhalation, you let out a low growl, gripping the edge of the dash as the frustration boils over.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Viccy: Lets out a harsh, cynical bark of laughter, shaking her head as she tosses the penlight into the glove box. "Government? Terry, honey, the EPA inspector for this county hasn't answered a phone call in six months, and the state board is knee-deep in NORTHEX campaign contributions." She shifts the truck into gear, the engine rumbling to life beneath the floorboards. "To them, this isn't a forest; it's a balance sheet waiting to be cleared, and we're the only ones left standing in the way."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Leaning across the center console, you catch the ignition key and snap the engine back off, the cab plunging back into a tense, quiet gloom. You hold up the stolen key fob, turning it over in your palm so the blue LED catches the dashboard light.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Viccy: Blinks in surprise, staring at the small plastic device in your hand before looking up at you with a slow, wicked grin spreading across her face. She leans back against her seat, crossing her arms. "Voss didn't give me the full user manual, but she did say those override fobs are tied straight into the regional security grid. If you press that little master button while you're close enough to their main tower, it doesn't just blind the cameras—it triggers a hard system reboot across the whole sector." She taps a finger against her chin, her eyes gleaming with dark amusement. "Meaning every gate pops open, every floodlight cuts out, and their whole little digital panopticon goes pitch black for at least ten minutes."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Leaping back into the cab, your paws shifting back to human hands as you slam both fists down onto the dashboard in a fit of wild, breathless laughter. "Motherfuckers! Did you see that?!" You throw your head back and let out a sharp, joyous howl right through the open window, the sound echoing out over the dark, sprawling valley.                                                                                                                                                                                                                                                                                                                                                                                                          +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Viccy: Grins fiercely, throwing the truck into reverse and kicking up a cloud of loose gravel as she spins the wheel, diving the flatbed deep back into the sheltering darkness of the tree line. "Oh, you absolute lunatic," she laughs, shaking her head as she hits the headlights and tears down the old logging trail. "They're going to be chasing their own tails for hours!"
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Slumping back into the passenger seat as the adrenaline slowly fades, you wipe a streak of dirt from your forehead and nod toward the winding dirt track leading deeper into the woods. "Let's go tell Rusty and Flowers. They need to know we just blinded the whole sector."                                                                                                                                                                                                                                                                                                                                                                                                                                                                       +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Viccy: Keeps her eyes fixed on the dark, twisting trail ahead, the truck's headlights cutting through the clinging mist of Blackpine Grove. "Yeah, let's see how the old man likes that kind of progress," she mutters, pressing harder on the gas as the trees grow denser around them.
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Kicking the truck door open, you hop down onto the damp, needle-strewn earth, shivering slightly as the damp chill of the heartland hits you. You head down the familiar footpath, leading the way through the thick, brooding timber toward the center of the grove.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Flowers: Steps silently out from behind a massive, shadow-draped pine just a few yards ahead, her massive wolf form blocking the path with bristles raised and teeth bared in a low, warning snarl. Her amber eyes lock onto you with total hostility before she catches your scent, her posture easing just a fraction as she huffs a cloud of hot breath into the cold air.                                                                                                                                                                                                                                                                                                                                                                               +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Rusty: Sits hunched over on a flat mossy rock near the dead, weeping pine at the center of the clearing, pulling a heavy wool blanket tighter around his frail shoulders. He coughs dryly into a stained handkerchief, looking up with tired, clouded eyes as you approach. "Well?" the old Silver Fang rasps, his voice weak but demanding. "You bled diesel and corporate filth tonight. What did you find out there?"
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Rusty: Winces slightly at the scattered papers, his thin fingers trembling as he reaches out to push his glasses up his nose and peer down at the stolen maps. "Chemical refuse..." he rasps, a fresh fit of coughing rattling his chest before he lowers the stained handkerchief. "A day or two of blindness... it is something, yes, but it is not enough. They will simply bring more guards, more machines, more poison."                                                                                                                                                                                                                                                                                                                              +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Flowers: Lets out a low, vibrating growl deep in her throat, taking a slow, menacing step toward the maps on the ground before casting a sharp, predatory glance out toward the southern valley. She drops her snout close to the dirt, inhaling deeply before snapping her jaws shut with an audible *click*, her posture screaming for blood and action rather than mere delays.
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Rusty: Glances up from the maps, his tired, clouded eyes softening just a fraction as he looks from Viccy to you, though a heavy weariness still clings to his frail shoulders. "You struck a blow, yes... and I do not dismiss your courage, young Ragabash," he rasps, pulling the woolen blanket tighter around his chest. "But steel and corporate greed do not bleed easily, and they will not stop because the lights went out for an evening."                                                                                                                                                                                                                                                                                                       +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Flowers: Gives a sharp, dismissive huff, turning her massive wolf head away from the maps to stare fixedly toward the dark southern horizon where the faint, chemical-laced stench of the industrial complex hangs in the air. She lets out a low, rumbling growl, digging her front paws deep into the mossy earth as if ready to run back down the mountain right this instant.
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Rusty: Sighs heavily, closing his eyes for a moment as the frail Silver Fang watches you turn away. "Pride makes a poor shield, Terry," he rasps, his tone weary rather than angry. "I do not belittle your deed. But the Wyrm does not tire, and neither can we afford to."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Flowers: Shifts her weight with a sharp, heavy thud of paws against the moss, letting out a low, derisive snort at your back. She casts a brief, critical glance your way before turning her sharp amber eyes back toward the southern tree line.
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Rusty: Nods slowly, lowering his head in a tired gesture of acceptance as he lets out a quiet, wheezing breath. "Go then," he rasps, clutching his blanket closer against the mountain chill. "Rest while you can. Tomorrow, the true work begins."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Flowers: Turns her heavy wolf head away from you both, offering a final, low growl that vibrates through the damp night air before slipping silently back into the deeper shadows of the Blackpine Grove.
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Grips the steering wheel tightly as the truck's engine sputters to life, staring out through the cracked windshield at the dark, twisting dirt road ahead. "Yeah, well..." He lets out a sharp, cynical scoff, shifting the gear stick with a rough mechanical clunk. "Easy for him to preach about the long war when he's sitting on a mossy rock coughing into a rag while we're the ones dodging cameras and corporate rent-a-cops."
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Glances sideways at you in the dim cab light, his jaw tight before his expression softens just a fraction as he eases up on the gas. "Sorry," he mutters, his hands loosening their white-knuckle grip on the steering wheel as the truck bumps over a root in the dark road. "Just... tired, I guess. What's our next move with what we found?"
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Lets out a dry, humorless chuckle, shaking his head as he keeps his eyes glued to the dark road. "Yeah, nobody mentioned the endless paperwork and environmental cleanup when I got my First Change," he mutters, reaching down to tap the stolen NORTHEX master keycard sitting on the dashboard. "So, you think this little piece of plastic opens up whatever gate they're using to haul the really bad stuff out past the logging road?"
 fe1fb61e-0b7c-4c62-9933-862c62670c7d | Terry: Stares ahead through the windshield, his hands tightening on the steering wheel again as the truck’s headlights cut through the gloom of the pine trees. "Depends on how many people like us are left fighting," he says quietly, his voice losing its usual edge of bravado. "I don't plan on letting this place turn into a parking lot, for what it's worth."                                                                                                                                                                                                                                                                                                                                                                                     +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | Viccy: "Me neither."
 ab8163fb-1255-4731-ac46-3eafc0c1d415 | Flowers: Flowers watches the amber glow fade from your newly bound gear, her ears swiveling backward as you slip into the cool, dark water of the spring.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
                                      | She doesn't offer a welcoming nuzzle or a soft whine. Instead, she gives a sharp, disdainful huff, shaking a few stray drops of water from her gray-brown coat before she finally heaves her massive frame out of the mud.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +
                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             +
